OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,BuyBaseAssetVolume,BuyQuoteAssetVolume,Ignore,RSI,MACD,MACDSign,MACDHist,Change
1503259200000,4161.59,4171.62,4116,4150,89.165059,1503266399999,369091.14753941,423,74.345068,307686.18935946,10080.98423253,51.65,-18.65,-20.95,2.3,-14.6
1503266400000,4162.59,4171.62,4069.13,4086.29,107.574044,1503273599999,445318.22959736,459,87.128668,360585.46617805,10125.41408414,46.12,-19.96,-20.29,0.33,-63.71
1503273600000,4069.13,4119.62,4062.78,4094.6,109.060472,1503280799999,446404.73793249,494,98.784962,404288.11490803,10214.99196612,46.92,-20.15,-20.2,0.05,8.31
1503280800000,4094.6,4109.26,4039,4084.76,111.777671,1503287999999,455211.69422483,437,93.60058,381138.68749345,10338.30080168,46.05,-20.81,-20.61,-0.2,-9.84
1503288000000,4079.26,4104.68,4011.02,4016.9,106.671074,1503295199999,433144.24186007,515,85.881122,348536.15901042,10525.61752568,40.47,-26.18,-24.32,-1.86,-67.86
1503295200000,4011.04,4055.92,3953.4,4043.63,115.904055,1503302399999,464608.52290751,685,93.192303,373778.49329735,10870.05610698,43.38,-28.11,-26.85,-1.26,26.73
1503302400000,4043.63,4077.07,4010.78,4074,58.817043,1503309599999,237381.32750327,251,50.678563,204512.85493197,11055.06345999,46.58,-27.03,-26.97,-0.06,30.37
1503309600000,4066,4088.12,4000.01,4023.11,20.061271,1503316799999,80988.56663947,203,13.027159,52648.50537662,11125.99881072,42.27,-29.69,-28.78,-0.91,-50.89
1503316800000,4023.11,4023.11,3934.43,3951.49,28.685665,1503323999999,114382.10070863,276,8.240445,33023.53675323,11282.32176043,37.08,-36.82,-34.14,-2.68,-71.62
1503324000000,3914.59,4023.11,3911.79,4022,15.077131,1503331199999,60031.52568322,203,9.714129,38718.06000453,11181.53868221,44.33,-36.73,-35.87,-0.86,70.51
1503331200000,4005.99,4029.06,3951.26,4016.2,12.389071,1503338399999,49534.98463916,136,8.136085,32561.20947389,11249.4669935,43.88,-36.67,-36.4,-0.27,-5.8
1503338400000,3997.57,4042.11,3918.8,4027.05,12.077859,1503345599999,48362.67131376,194,9.787228,39265.44438364,11428.72263638,45,-35.41,-35.74,0.33,10.85
1503345600000,4027.05,4070.49,3950,4039.1,71.465311,1503352799999,287585.06342383,358,63.522568,255617.8377602,11509.56288671,46.28,-33.11,-33.98,0.88,12.05
1503352800000,4039.1,4041.23,3987.5,4016,29.756437,1503359999999,119596.27719104,220,22.790963,91573.64976504,11706.76997007,44.16,-32.66,-33.1,0.44,-23.1
1503360000000,4016,4016,3688.97,3700,90.465526,1503367199999,349896.17669554,522,61.323918,237719.28964978,11701.9696175,26.35,-55.64,-48.13,-7.51,-316
1503367200000,3700,3862.39,3689,3862.39,24.21982,1503374399999,92848.39500929,209,17.882812,68650.08815135,12280.16637919,39.79,-60.9,-56.64,-4.26,162.39
1503374400000,3863,3868.57,3400,3626.99,43.165429,1503381599999,156917.07666517,231,13.689444,50528.66271428,12019.61987953,30.97,-82.01,-73.56,-8.46,-235.4
1503381600000,3619.95,3854.46,3619.95,3798.08,124.05609,1503388799999,470728.53050148,704,95.74501,363322.79129532,11936.69980562,41.17,-84.85,-81.09,-3.77,171.09
1503388800000,3798.08,3920.31,3750.08,3904.56,113.040289,1503395999999,433609.78339925,568,93.435258,358195.4549413,11775.13939042,46.48,-78.15,-79.13,0.98,106.48
1503396000000,3904.56,3905.56,3826.12,3866.48,108.690947,1503403199999,420565.65130836,898,45.067469,174783.24511159,11737.00013732,44.92,-74.85,-76.28,1.43,-38.08
1503403200000,3866.48,3990.12,3853.53,3920.99,114.411455,1503410399999,447227.45179481,1042,25.821367,101493.90886509,11768.67974598,47.63,-67.33,-70.31,2.98,54.51
1503410400000,3874.38,3921.63,3786.81,3858.23,64.946966,1503417599999,251060.05226291,429,16.334326,63477.10878126,11707.98130638,44.89,-65.37,-67.01,1.65,-62.76
1503417600000,3858.23,3998.99,3853.47,3943,80.058906,1503424799999,314294.79779809,396,16.832919,66669.80231227,11760.26111467,49.14,-56.73,-60.16,3.43,84.77
1503424800000,3944,4104.82,3944,3984.24,79.476749,1503431999999,320246.32999109,621,11.305672,45751.72463904,11791.64631318,51.12,-46.21,-50.86,4.65,41.24
1503432000000,3984.5,4061.54,3946.67,3946.67,51.797997,1503439199999,205882.1997062,341,7.762335,31242.68612664,11805.08210724,49.24,-40.23,-43.77,3.54,-37.57
